"","Acari","Amphipoda","Aranae","Baetidae","Caenidae","Calamoceratidae","Ceratopogonidae","Chaoboridae","Chironomidae (L)","Chironomidae(pupa)","Cladocera","Colembola","Coleoptera","Coleoptera (larva)","Copepoda","Corixidae","Diptera (adult)","Diptera (pupa)","Dytiscidae","Elmidae","Empididae","Ephemeroptera","Filamentous Algae","Formicidae","Gerrridae","Helicopsychidae","Hemiptera","Hydracarina","Hydropsychidae","Hymenoptera","Insect Remains","Invertebrate eggs","Isoptera","Lampyridae","Leptoceridae","Leptohyphes","Leptophlebiidae","Libellulidae","Naucoridae","Noteridae","Odonata (N)","Organic matter","Orthoptera","Ostracoda","Philopotamidae","Plant Matter","Plecoptera","Pleidae","Pseudoscorpionida","Psocoptera","Psychodidae","Pyralidae","Scales","Sediments","Seeds and Fruits","Shrimp (L)","Simullidae","Staphynilidae","Thysanura","Tingidae","Trichoptera","Trichoptera (L)","Vellidae","Vespidae"
"IAI_NJL",0,0,0,0.0103950103950104,0,0.000693000693000693,0,0,0.0582120582120582,0,0.116424116424116,0,0,0,0.00277200277200277,0,0,0,0,0.0207900207900208,0,0.0893970893970894,0.417879417879418,0.00693000693000693,0,0,0,0.00277200277200277,0.00693000693000693,0,0.249480249480249,0,0,0,0.00346500346500346,0,0,0,0,0,0,0.00554400554400554,0,0.00623700623700624,0,0.00138600138600139,0,0,0,0,0,0,0,0.000693000693000693,0,0,0,0,0,0,0,0,0,0
"IAI_NO",0,0,0,0.0264935064935065,0,0,0.000173160173160173,0,0.150822510822511,0,0.016969696969697,0,0,0,0,0,0,0.000173160173160173,0,0,0,0.00935064935064935,0.300952380952381,0,0,0,0,0.000173160173160173,0,0.00346320346320346,0.475151515151515,0,0,0,0,0,0,0,0,0,0,0.000346320346320346,0,0.0121212121212121,0,0,0,0,0,0,0,0,0,0.00380952380952381,0,0,0,0,0,0,0,0,0,0
"IAI_UJ",0.000141924496168039,0,0.00170309395401646,0,0,0,0,0.0244110133409026,0.0306556911722963,0.00879931876241839,0.0149020720976441,0,0.0136247516321317,0.000141924496168039,0,0,0,0.00113539596934431,0,0.0383196139653704,0,0.00879931876241839,0.00141924496168039,0.689753051376668,0,0,0.00170309395401646,0.00127732046551235,0,0.0336361055918251,0.0706783990916832,0.000141924496168039,0,0.000141924496168039,0,0,0,0,0,0,0,0.0244110133409026,0,0.0242690888447346,0,0.00141924496168039,0,0,0.00652852682372978,0.000709622480840193,0,0.000567697984672154,0,0.000141924496168039,0,0,0,0,0.000141924496168039,0,0.000283848992336077,0.000141924496168039,0,0
"IAI_UJL",0,0,0,0,0,0,0,0.00322061191626409,0.0257648953301127,0,0.000805152979066023,0.000805152979066023,0,0,0,0,0.00161030595813205,0,0,0,0,0,0.0193236714975845,0,0,0,0,0.0821256038647343,0,0,0.608695652173913,0,0,0,0.00805152979066022,0,0,0,0,0,0,0.207729468599034,0,0.0072463768115942,0,0.0338164251207729,0,0,0,0,0,0,0,0.000805152979066023,0,0,0,0,0,0,0,0,0,0
"IAI_UO",0,0,0,0.081799591002045,0,0,0,0,0.00204498977505112,0.00408997955010225,0.0122699386503068,0,0,0,0,0,0,0,0,0.0408997955010225,0,0,0.00204498977505112,0.00204498977505112,0,0,0.0204498977505112,0.00204498977505112,0,0,0.828220858895706,0,0,0,0,0,0,0,0,0,0,0,0,0.00408997955010225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IAI_AA",0.000237022991230149,0,0,0.00474045982460299,0,0,0,0,0.106660346053567,0,0.00853282768428537,0,0.00474045982460299,0,0,0,0,0,0,0,0,0.0234652761317848,0.144109978667931,0.000237022991230149,0,0,0,0,0,0.00474045982460299,0.686892628584973,0,0,0,0,0.000474045982460299,0,0,0,0,0,0.00355534486845224,0,0,0.00711068973690448,0.00237022991230149,0,0.00118511495615075,0,0,0,0,0,0.000948091964920597,0,0,0,0,0,0,0,0,0,0
"IAI_AJ",0,0,0.00322667383705297,0.00161333691852649,0.00268889486421081,0,0,0.00013444474321054,0.000537778972842162,0.00107555794568432,0.000672223716052702,0,0,0,0,0,0,0.00107555794568432,0,0,0,0,0.0188222640494757,0.306534014520032,0,0,0,0.00121000268889486,0.00013444474321054,0,0.434794299542888,0,0,0,0.00268889486421081,0,0,0,0,0.00295778435063189,0,0.209733799408443,0,0.00873890830868513,0,0,0,0,0,0.00242000537778973,0,0,0,0.000403334229631621,0,0,0,0.00013444474321054,0.000403334229631621,0,0,0,0,0
"IAI_AJL",0,0,0.000509497349021606,0.00171955355294792,0,0,0,0.00238826882353878,3.18435843138504e-05,0.000127374337255401,0,0,1.59217921569252e-05,0,0,0,0,0,3.18435843138504e-05,6.36871686277007e-05,0,7.96089607846259e-05,0,0.987151113729361,0,0,0.000477653764707756,0,1.59217921569252e-05,0,0,0,7.96089607846259e-05,0,1.59217921569252e-05,0,0,0,0,0,0,0,0.000286592258824653,1.59217921569252e-05,0,0,0,0,0,6.36871686277007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692597958826245
"IAI_GA",0,0.00146327187591455,0.00146327187591455,0.000585308750365818,0,0,0,0.000292654375182909,0.00468247000292654,0.00292654375182909,0.0497512437810945,0,0,0,0,0,0,0,0.00234123500146327,0,0.00292654375182909,0.0117061750073164,0.174129353233831,0.00702370500438982,0,0,0,0.000292654375182909,0,0,0.194907813871817,0,0,0,0,0,0,0,0,0,0,0.09657594381036,0,0.0365817968978636,0.000877963125548727,0,0.000585308750365818,0,0,0,0,0,0,0,0,0.410886742756804,0,0,0,0,0,0,0,0
"IAI_GJL",0,0,0,0.0162726435369972,0,0,0,0.00506601166717838,0.0177310408351243,0.0455941050046055,0,7.67577525330058e-05,0.00199570156585815,0,0,0,7.67577525330058e-05,0.00153515505066012,0,0,0,0.103622965919558,0,0.530549585508136,0.000460546515198035,7.67577525330058e-05,0.000307031010132023,0,7.67577525330058e-05,0.00122812404052809,0.20939514891004,7.67577525330058e-05,0,0,0,0.000767577525330058,0,0.000767577525330058,0,0,0.00936444580902671,0,0,0.000690819772797052,0,0,0,0,0.000767577525330058,0.00506601166717839,0,0.000153515505066012,0,7.67577525330058e-05,0,0.0026865213386552,0.000460546515198035,7.67577525330058e-05,0.00214921707092416,0.000997850782929076,0,0.00122812404052809,0.000307031010132023,0.0402978200798281
"IAI_GO",0,0,0,0.0995823964021844,0,0,0,0,0.00192740122068744,0,0.00128493414712496,0,0,0,0.00032123353678124,0.0032123353678124,0,0,0,0,0,0.0269836170896242,0.640860905878574,0.0424028268551237,0,0,0,0,0,0,0.172181175714745,0,0,0,0,0,0,0,0,0.0032123353678124,0,0,0,0.008030838419531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IAI_PA",0.000241138172172655,0,0.000241138172172655,0.0096455268869062,0,0,0,0.00120569086086327,0.103448275862069,0,0.0101278032312515,0,0.000723414516517965,0,0,0,0,0,0,0,0,0.0414757656136966,0.00337593441041717,0.0120569086086327,0,0,0,0,0,0,0.665059078852182,0.000241138172172655,0,0,0.00048227634434531,0,0,0,0.000241138172172655,0,0,0.0491921871232216,0,0.00217024354955389,0,0.0998312032794792,0,0,0,0,0,0,0.000241138172172655,0,0,0,0,0,0,0,0,0,0,0
"IAI_PJ",0,0.000276548672566372,0,0,0,0,0,0,0,0,0.00165929203539823,0,0.000553097345132743,0,0,0,0,0,0.000829646017699115,0,0,0,0.139380530973451,0.00663716814159292,0,0,0,0,0,0,0.308628318584071,0.000276548672566372,0,0,0,0,0,0,0,0,0,0.48396017699115,0,0.000276548672566372,0,0.0456305309734513,0,0,0,0,0,0,0.000829646017699115,0.0110619469026549,0,0,0,0,0,0,0,0,0,0
"IAI_PJL",0,0,0.000130174433741213,0,0,0,0,0.000130174433741213,0.00130174433741213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130174433741213,0.995834418120281,0,0,0,0,0.000130174433741213,0,0.000650872168706066,0,0,0,0,0.00039052330122364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130174433741213,0,0,0,0,0,0
